CI	S IY
PRESENTENCINGS	P R IY S EH N T AH N S IH NG Z
PRESIDENCIES	P R EH Z IH D AH N S IY Z
PRESLICING	P R IY S L AY S IH NG
PRESPECIFIED	P R IY S P EH K AH F AY D
PRESPECIFIES	P R IY S P EH K AH F AY Z
PRESPECIFY	P R IY S P EH K AH F AY
PRESPECIFYING	P R IY S P EH K AH F AY IH NG
PRICIER	P R AY S IY ER
PRICIEST	P R AY S IY IH S T
PRICING	P R AY S IH NG
PRIMACIES	P R AY M AH S IY Z
PRINCIPAL	P R IH N S AH P AH L
PRINCIPALITIES	P R IH N S IH P AE L IH T IY Z
PRINCIPALITY	P R IH N S IH P AE L IH T IY
PRINCIPALLY	P R IH N S IH P L IY
PRINCIPALS	P R IH N S AH P AH L Z
PRINCIPALSHIP	P R IH N S AH P AH L SH IH P
PRINCIPALSHIPS	P R IH N S AH P AH L SH IH P S
PRINCIPE	P R IY N CH IY P IY
PRINCIPI	P R IH N S AH P IY
PRINCIPIA	P R IH N S IH P IY AH
PRINCIPIUM	P R IH N S IH P IY AH M
PRINCIPLE	P R IH N S AH P AH L
PRINCIPLED	P R IH N S AH P AH L D
PRINCIPLES	P R IH N S AH P AH L Z
PRIVACIES	P R AY V AH S IY Z
PROBENECID	P R AA B EH N AH S IH D
PROBENECIDS	P R OW B AH N EH S AH D Z
PROBOSCIDEAN	P R OW B AA S AY D IY AH N
PROBOSCIDEANS	P R OW B AA S AH D IY N Z
PROBOSCIDES	P R OW B AA S AY D Z
PROBOSCIDIAN	P R OW B AA S IH D IY AH N
PROBOSCIDIANS	P R OW B AA S IH D IY AH N Z
PROBOSCIS	P R OW B AA S AH S
PROBOSCISES	P R OW B AA S AY Z AH Z
PRODUCIBLE	P R AH D UW S AH B AH L
PRODUCING	P R AH D UW S IH NG
PROFICIENCIES	P R AH F IH SH AH N S IY Z
PROFICIENCY	P R AH F IH SH AH N S IY
PROFICIENT	P R AA F IH SH AH N T
PROFICIENTLY	P R AH F IH SH AH N T L IY
PROFICIENTS	P R AH F IH SH AH N T S
PROFLIGACIES	P R OW F L IH G AH S AY Z
PROLIFICACIES	P R AH L IH F IH K AH S IY Z
PROLIFICITIES	P R AH L IH F IH K AH T IY Z
PROLIFICITY	P R AH L IH F IH K AH T IY
PRONOUNCING	P R AH N AW N S IH NG
PRONUNCIAMENTO	P R OW N AH N S IY AH M EH N T OW
PRONUNCIAMENTOES	P R OW N AH N S IY AH M EH N T OW Z
PRONUNCIAMENTOS	P R OW N AH N S IY AH M EH N T AH Z
PRONUNCIATION	P R OW N AH N S IY EY SH AH N
PRONUNCIATION(2)	P R AH N AH N S IY EY SH AH N
PRONUNCIATIONAL	P R AH Z N AH N S IY EY SH AH N AH L
PRONUNCIATIONS	P R OW N AH N S IY EY SH AH N Z
PRONUNCIATIONS(2)	P R AH N AH N S IY EY SH AH N Z
PROPHECIES	P R AA F AH S IY Z
PROSCIUTTI	P R OW S AY AH T IY
PROSCIUTTO	P R OW S AY AH T OW
PROSCIUTTOS	P R OW S AY AH T AH Z
PROTHORACIC	P R OW TH AO R AH S AH K
PROVINCIAL	P R AH V IH N SH AH L
PROVINCIALISM	P R AH V IH N SH AH L IH Z AH M
PROVINCIALISMS	P R AH V IH N CH AH L IH Z AH M Z
PROVINCIALIST	P R AH V IH N CH AH L IH S T
PROVINCIALISTS	P R AH V IH N CH AH L IH S T S
PROVINCIALITIES	P R AH V IH N CH AH L AH T IY Z
PROVINCIALITY	P R AH V IH N CH AH L AH T IY
PROVINCIALIZATION	P R AH V IH N CH AH L AH Z EY SH AH N
PROVINCIALIZATIONS	P R AH V IH N CH AH L AH Z EY SH AH N Z
PROVINCIALIZE	P R AH V IH N CH AH L AY Z
PROVINCIALIZED	P R AH V IH N CH AH L AY Z D
PROVINCIALIZES	P R AH V IH N CH AH L AY Z IH Z
PROVINCIALIZING	P R AH V IH N CH AH L AY Z IH NG
PROVINCIALLY	P R AH V IH N SH AH L IY
PROVINCIALS	P R AH V IH N CH AH L Z
PRURIENCIES	P R UH R IY AH N S IY Z
PSEUDOCLASSICISM	S UW D OW K L AE S IH K S IH Z AH M
PSEUDOCLASSICISMS	S UW D OW K L AE S IH K S IH Z AH M Z
PSEUDOPREGNANCIES	S UW D OW P R EH G N AH N S IY Z
PSEUDOSCIENCE	S UW D OW S AY AH N S
PSEUDOSCIENCES	S UW D OW S AY AH N S IH Z
PSEUDOSCIENTIFIC	S UW D OW S AY AH N T IH F IH K
PSEUDOSCIENTIST	S UW D OW S AY AH N T IH S T
PSEUDOSCIENTISTS	S UW D OW S AY AH N T IH S T S
PSILOCIN	S IH L AH S AH N
PSILOCINS	S IH L AH S AH N Z
PSITTACINE	S IH T AH S AY N
PSITTACINES	S IH T AH S AY N Z
PSOCID	S AA S AH D
PSOCIDS	S AA S AH D Z
PSYCHOMETRICIAN	S AY K AH M EH T R IH S IY AH N
PSYCHOMETRICIANS	S AY K AH M EH T R IH S IY AH N Z
PSYCHOPHYSICIST	S AY K OW F IH Z AH S AH S T
PSYCHOPHYSICISTS	S AY K OW F IH Z AH S AH S T S
PSYCHOSOCIAL	S AY K OW S OW SH AH L
PSYCHOSOCIALLY	S AY K OW S OW SH AH L IY
PUBLICISE	P AH B L AH S AY Z
PUBLICISED	P AH B L IH K IY Z D
PUBLICISES	P AH B L IH K IY Z IH Z
PUBLICISING	P AH B L IH K IY Z IH NG
PUBLICIST	P AH B L IH S IH S T
PUBLICISTS	P AH B L IH S IH S T S
PUBLICITIES	P AH B L IH S AH T IY Z
PUBLICITY	P AH B L IH S AH T IY
PUBLICITY(2)	P AH B L IH S IH T IY
PUBLICIZE	P AH B L IH S AY Z
PUBLICIZED	P AH B L IH S AY Z D
PUBLICIZES	P AH B L AH S AY Z IH Z
PUBLICIZING	P AH B L AH S AY Z IH NG
PUDENCIES	P Y UW D EH N S AY Z
PUGNACIOUS	P AH G N AE SH IH S
PUGNACIOUSLY	P AH G N AH S IY OW AH S L IY
PUGNACIOUSNESS	P AH G N EY S IY AW Z N AH S
PUGNACIOUSNESSES	P AH G N EY S IY AW Z N EH S AH Z
PUGNACITIES	P AH G N AE S AH T AY Z
PUGNACITY	P AH G N AH S AH T IY
PULICIDE	P Y UW L AH S AY D
PULICIDES	P Y UW L AH S AY D Z
PUMICING	P Y UW M IH S AH NG
PUMICITE	P Y UW M AH S AY T
PUMICITES	P Y UW M AH S AY T S
PUNGENCIES	P AH N JH AH N S IY Z
PUROMYCIN	P Y AH R AA M AH S AH N
PUROMYCINS	P Y AH R AA M AH S AH N Z
PUTRESCIBLE	P AH T R EH S AH B AH L
PUTRESCINE	P AH T R AH S AY N
PUTRESCINES	P AH T R AH S AY N Z
PYROELECTRICITIES	P AH R OW AH L EH K T R IH S AH T AY Z
PYROELECTRICITY	P AH R OW AH L EH K T R IH S AH T IY
PYROGENICITIES	P IH R AH JH AH N IH S AH T AY Z
PYROGENICITY	P AH R AA JH AH N IH S AH T IY
PYROMANCIES	P IH R AH M AE N S AY Z
QUADRUPLICITIES	K W AA D R UW P AH L IH K S AH T IY Z
QUADRUPLICITY	K W AA D R UW P AH L IH K S AH T IY
QUASIPERIODICITIES	K W AH S AH P IY R IY AH D IH S AH T AY Z
QUASIPERIODICITY	K W AA S AH P AH R IY AH D IH S AH T IY
QUATTUORDECILLION	K W AA T Y UW AO R D AH S IH L IY AH N
QUATTUORDECILLIONS	K W AA T Y UW AO R D AH S IH L IY AH N Z
QUERCINE	K W AH R S AY N
QUERCITRON	K W AH R S IH T R AH N
JAUK	JH AO K
KUCHEN	K AH CH AH N
OBOIST	OW B OW AH S T
JIAO	JH AY AH OW
CEANOTHUS	S IY N AH TH AH S
LO	L OW
LO	L OW
