TH	T IY EY CH
SMITHY	S M IH TH IY
SMOOTH	S M UW DH
SMOOTHBORE	S M UW DH B OW R
SMOOTHBORES	S M UW DH B OW R Z
SMOOTHED	S M UW DH D
SMOOTHEN	S M UW DH IH N
SMOOTHENED	S M UW DH AH N D
SMOOTHENING	S M UW DH AH N IH NG
SMOOTHENS	S M UW DH IH N Z
SMOOTHER	S M UW DH ER
SMOOTHERS	S M UW DH ER Z
SMOOTHES	S M UW DH Z
SMOOTHEST	S M UW DH AH S T
SMOOTHIE	S M UW DH IY
SMOOTHIES	S M UW DH IY Z
SMOOTHING	S M UW DH IH NG
SMOOTHLY	S M UW DH L IY
SMOOTHNESS	S M UW DH N AH S
SMOOTHNESSES	S M UW DH N AH S IH Z
SMOOTHS	S M UW DH Z
SMOOTHY	S M UW DH IY
SMOTHER	S M AH DH ER
SMOTHERED	S M AH DH ER D
SMOTHERING	S M AH DH ER IH NG
SMOTHERS	S M AH DH ER Z
SMOTHERY	S M AH DH ER IY
SNAGGLETEETH	S N AE G L IY T IY AH TH
SNAGGLETOOTH	S N AE G L AH T UW TH
SNAGGLETOOTHED	S N AE G L AH T UW DH D
SNATH	S N AE TH
SNATHE	S N EY DH
SNATHES	S N AE DH Z
SNATHS	S N AE TH S
SOCIOPATH	S OW S IY OW P AE TH
SOCIOPATHIC	S OW S IY AH P AH TH AH K
SOCIOPATHIES	S OW S IY AA P AH TH AY Z
SOCIOPATHS	S OW S IY OW P AE DH Z
SOCIOPATHY	S OW S IY AA P AH TH IY
SOFTHEAD	S AO F T HH EH D
SOFTHEADED	S AO F T HH EH D IH D
SOFTHEADEDLY	S AO F T HH EH D AH D L IY
SOFTHEADEDNESS	S AO F T HH EH D AH D N AH S
SOFTHEADEDNESSES	S AO F T HH EH D AH D N AH S IH Z
SOFTHEADS	S AO F T HH EH D Z
SOFTHEARTED	S AO F T HH AA R T IH D
SOFTHEARTEDLY	S AO F T HH AA R T AH D L IY
SOFTHEARTEDNESS	S AO F T HH AA R T AH D N AH S
SOFTHEARTEDNESSES	S AO F T HH AA R T AH D N AH S IH Z
SOMETHING	S AH M TH IH NG
SOMEWHITHER	S AA M Y UW HH AH DH AH R
SONGSMITH	S AO NG S M IH TH
SONGSMITHS	S AO NG S M IH TH S
SOOTH	S UW TH
SOOTHE	S UW DH
SOOTHED	S UW DH D
SOOTHER	S UW DH ER
SOOTHERS	S UW DH ER Z
SOOTHES	S UW DH Z
SOOTHEST	S UW DH AH S T
SOOTHFAST	S UW TH AH S T
SOOTHING	S UW DH IH NG
SOOTHINGLY	S UW DH IH NG L IY
SOOTHINGNESS	S UW DH IH NG N AH S
SOOTHINGNESSES	S UW DH IH NG N AH S IH Z
SOOTHLY	S UW TH L IY
SOOTHS	S UW TH S
SOOTHSAID	S UW TH S EY D
SOOTHSAY	S UW TH S EY IY
SOOTHSAYER	S UW TH S EY ER
SOOTHSAYERS	S UW TH S EY ER Z
SOOTHSAYING	S UW TH S EY AH NG
SOOTHSAYINGS	S UW TH S EY AH NG Z
SOOTHSAYS	S UW TH S EY Z
SOTH	S AA TH
SOTHS	S AA TH S
SOUTH	S AW TH
SOUTHBOUND	S AW TH B AW N D
SOUTHEAST	S AW TH IY S T
SEICENTO	S AY S EH N T OW
GEANTICLINE	JH IY N T AH K L AY N
EIRENIC	IY R AH N AH K
IMAGE	IH M AH JH
IMAGE(2)	IH M IH JH
GILBERT	G IH L B ER T
MECAMYLAMINE	M AH K AH M IH L AH M AY N
IKON	AY K AA N
