TIO	T AY OW
INTERPENETRATION	IH N T ER P EH N AH T R EY SH AH N
INTERPENETRATIONS	IH N T ER P EH N AH T R EY SH AH N Z
INTERPOLATION	IH N T ER P AH L EY SH AH N
INTERPOLATIONS	IH N T ER P AH L EY SH AH N Z
INTERPOPULATION	IH N T ER P AA P Y AH L EY SH AH N
INTERPOPULATIONAL	IH N T ER P AA P Y AH L EY SH AH N AH L
INTERPOSITION	IH N T ER P AH Z IH SH AH N
INTERPOSITIONS	IH N T ER P AH Z IH SH AH N Z
INTERPRETATION	IH N T ER P R IH T EY SH AH N
INTERPRETATIONAL	IH N T ER P R AH T EY SH AH N AH L
INTERPRETATIONS	IH N T ER P R IH T EY SH AH N Z
INTERRELATION	IH N T ER R IY L EY SH AH N
INTERRELATIONS	IH N T ER R IY L EY SH AH N Z
INTERRELATIONSHIP	IH N T ER R IY L EY SH AH N SH IH P
INTERRELATIONSHIPS	IH N T ER R IY L EY SH AH N SH IH P S
INTERROGATION	IH N T EH R AH G EY SH AH N
INTERROGATIONAL	IH N T EH R AH G EY SH AH N AH L
INTERROGATIONS	IH N T EH R AH G EY SH AH N Z
INTERRUPTION	IH N T ER AH P SH AH N
INTERRUPTIONS	IH N T ER AH P SH AH N Z
INTERSECTION	IH N T ER S EH K SH AH N
INTERSECTIONAL	IH N T ER S EH K SH AH N AH L
INTERSECTIONS	IH N T ER S EH K SH AH N Z
INTERSTATION	IH N T ER S T EY SH AH N
INTERSTIMULATION	IH N T ER S T IH M Y AH L EY SH AH N
INTERSTIMULATIONS	IH N T ER S T IH M Y AH L EY SH AH N Z
INTERSTRATIFICATION	IH N T ER S T R AE T AH F AH K EY SH AH N
INTERSTRATIFICATIONS	IH N T ER S T R AE T AH F AH K EY SH AH N Z
INTERVENTION	IH N T ER V EH N SH AH N
INTERVENTIONISM	IH N T ER V EH N SH AH N IH Z AH M
INTERVENTIONISMS	IH N T ER V EH N CH AH N IH Z AH M Z
INTERVENTIONIST	IH N T ER V EH N SH AH N IH S T
INTERVENTIONISTS	IH N T ER V EH N SH AH N IH S T S
INTERVENTIONS	IH N T ER V EH N SH AH N Z
INTERVISITATION	IH N T ER V IH Z AH T EY SH AH N
INTERVISITATIONS	IH N T ER V IH Z AH T EY SH AH N Z
INTIMATION	IH N T IH M EY SH AH N
INTIMATIONS	IH N T IH M EY SH AH N Z
INTIMIDATION	IH N T IH M IH D EY SH AH N
INTIMIDATIONS	IH N T AH M AH D EY SH AH N Z
INTINCTION	IH N T IH NG K AH N
INTINCTIONS	IH N T IH NG K T IY AH N Z
INTONATION	IH N T AH N EY SH AH N
INTONATIONAL	IH N T OW N EY SH AH N AH L
INTONATIONS	IH N T AH N EY SH AH N Z
INTOXICATION	IH N T AA K S AH K EY SH AH N
INTOXICATIONS	IH N T AA K S IH K EY SH AH N Z
INTRAPOPULATION	IH N T R AH P AA P Y AH L EY SH AH N
INTRODUCTION	IH N T R AH D AH K SH AH N
INTRODUCTION(2)	IH N T R OW D AH K SH AH N
INTRODUCTIONS	IH N T R AH D AH K SH AH N Z
INTRODUCTIONS(2)	IH N T R OW D AH K SH AH N Z
INTROJECTION	IH N T R AH JH EH K SH AH N
INTROJECTIONS	IH N T R AH JH EH K SH AH N Z
INTROSPECTION	IH N T R AH S P EH K SH AH N
INTROSPECTION(2)	IH N T R OW S P EH K SH AH N
INTROSPECTIONAL	IH N T R AH S P EH K SH AH N AH L
INTROSPECTIONISM	IH N T R AH S P EH K SH AH N IH Z AH M
INTROSPECTIONISMS	IH N T R AH S P EH K SH AH N IH Z AH M Z
INTROSPECTIONIST	IH N T R AH S P EH K SH AH N IH S T
INTROSPECTIONISTIC	IH N T R AH S P EH K SH AH N IH S T IH K
INTROSPECTIONISTS	IH N T R AH S P EH K SH AH N IH S T S
INTROSPECTIONS	IH N T R AH S P EH K SH AH N Z
INTUBATION	IH N T UW B EY SH AH N
INTUBATIONS	IH N T UW B EY SH AH N Z
INTUITION	IH N T UW IH SH AH N
INTUITIONAL	IH N T UH IH SH AH N AH L
INTUITIONISM	IH N T UH IH SH AH N IH Z AH M
INTUITIONISMS	IH N T UH IH SH AH N IH Z AH M Z
INTUITIONIST	IH N T UH IH SH AH N IH S T
INTUITIONISTS	IH N T UH IH SH AH N IH S T S
INTUITIONS	IH N T UH IH SH AH N Z
INTUSSUSCEPTION	IH N T AH S AH S EH P AH N
INTUSSUSCEPTIONS	IH N T AH S AH S EH P T IY AH N Z
INUNCTION	IH N AH NG K SH AH N
INUNCTIONS	IH N AH NG K SH AH N Z
INUNDATION	IH N AH N D EY SH AH N
INUNDATIONS	IH N AH N D EY SH AH N Z
INVAGINATION	IH N V AE JH AH N EY SH AH N
INVAGINATIONS	IH N V AE JH AH N EY T IY AH N Z
INVALIDATION	IH N V AE L AH D EY SH AH N
INVALIDATIONS	IH N V AE L AH D EY SH AH N Z
INVENTION	IH N V EH N SH AH N
INVENTIONS	IH N V EH N SH AH N Z
INVESTIGATION	IH N V EH S T AH G EY SH AH N
INVESTIGATIONAL	IH N V EH S T IH G EY SH AH N AH L
INVESTIGATIONS	IH N V EH S T AH G EY SH AH N Z
INVIGILATION	IH N V IH JH AH L EY SH AH N
INVIGILATIONS	IH N V IH JH AH L EY SH AH N Z
INVIGORATION	IH N V IH G ER EY SH AH N
INVIGORATIONS	IH N V IH G ER EY SH AH N Z
INVITATION	IH N V IH T EY SH AH N
INVITATIONAL	IH N V AH T EY SH AH N AH L
INVITATIONALS	IH N V AH T EY SH AH N AH L Z
INVITATIONS	IH N V IH T EY SH AH N Z
INVOCATION	IH N V AH K EY SH AH N
INVOCATIONAL	IH N V OW K EY SH AH N AH L
INVOCATIONS	IH N V OW K EY SH AH N Z
INVOLUTION	IH N V AH L UW SH AH N
INVOLUTIONAL	IH N V AH L UW SH AH N AH L
INVOLUTIONS	IH N V AH L UW SH AH N Z
IODATION	AY AH D EY SH AH N
IODATIONS	AY AH D EY T IY AH N Z
IODINATION	AY AH D AH N EY SH AH N
IODINATIONS	AY AH D AH N EY SH AH N Z
IONIZATION	AY AH N AH Z EY SH AH N
IONIZATIONS	AY AA N AH Z EY SH AH N Z
IRRADIATION	IH R EY D IY EY SH AH N
IRRADIATIONS	IH R EY D IY EY SH AH N Z
IRRATIONAL	IH R AE SH AH N AH L
IRRATIONALISM	IH R AE SH AH N AE L IH Z AH M
IRRATIONALISMS	IH R AE SH AH N AE L IH Z AH M Z
IRRATIONALIST	IH R AE SH AH N AE L IH S T
IRRATIONALISTIC	IH R AE SH AH N AH L IH S T IH K
IRRATIONALISTS	IH R AE SH AH N AE L IH S T S
IRRATIONALITIES	IH R AE SH AH N AE L AH T IY Z
IRRATIONALITY	IH R AE SH AH N AE L AH T IY
IRRATIONALLY	IH R AE SH AH N AH L IY
IRRATIONALLY(2)	IH R AE SH N AH L IY
IRRATIONALS	IH R AE SH AH N AH L Z
IRRESOLUTION	IH R EH Z AH L UW SH AH N
IRRESOLUTIONS	IH R EH Z AH L UW SH AH N Z
IRRIGATION	IH R AH G EY SH AH N
IRRIGATIONS	IH R IH G EY SH AH N Z
IRRITATION	IH R IH T EY SH AH N
IRRITATIONS	IH R IH T EY SH AH N Z
IRROTATIONAL	IH R OW T EY SH AH N AH L
IRRUPTION	IH R AH P SH AH N
IRRUPTIONS	IH R AH P SH AH N Z
ISOLATION	AY S AH L EY SH AH N
ISOLATIONISM	AY S AH L EY SH AH N IH Z AH M
ISOLATIONISMS	AY S AH L EY SH AH N IH Z AH M Z
ISOLATIONIST	AY S AH L EY SH AH N AH S T
ISOLATIONISTS	AY S AH L EY SH AH N IH S T S
ISOLATIONISTS(2)	AY S AH L EY SH AH N IH S
ISOLATIONS	AY S AH L EY SH AH N Z
ISOMERIZATION	AY S AH M ER AH Z EY SH AH N
ISOMERIZATIONS	AY S AH M ER AH Z EY SH AH N Z
ITALICIZATION	AY T AE L IH K AH Z EY SH AH N
ITALICIZATIONS	AY T AE L IH K AH Z EY SH AH N Z
ITEMIZATION	AY T AH M AH Z EY SH AH N
ITEMIZATIONS	AY T AH M AH Z EY SH AH N Z
ITERATION	IH T AH R EY SH AH N
ITERATIONS	IH T AH R EY SH AH N Z
ITINERATION	AY T IH N ER EY SH AH N
ITINERATIONS	AY T IH N ER EY SH AH N Z
JACTITATION	JH AE K T AH T EY SH AH N
JACTITATIONS	JH AE K T AH T EY T IY AH N Z
JOLLIFICATION	JH AA L AH F AH K EY SH AH N
JOLLIFICATIONS	JH AA L AH F AH K EY T IY AH N Z
JUBILATION	JH UW B AH L EY SH AH N
JUBILATIONS	JH UW B AH L EY SH AH N Z
JUNCTION	JH AH NG K SH AH N
JUNCTIONAL	JH AH NG K SH AH N AH L
JUNCTIONS	JH AH NG K SH AH N Z
JURISDICTION	JH UH R AH S D IH K SH AH N
JURISDICTION(2)	JH UH R IH S D IH K SH AH N
JURISDICTIONAL	JH UH R AH S D IH K SH AH N AH L
JURISDICTIONALLY	JH UH R AH S D IH K SH AH N AH L IY
JURISDICTIONS	JH UH R IH S D IH K SH AH N Z
JUSTIFICATION	JH AH S T AH F AH K EY SH AH N
JUSTIFICATIONS	JH AH S T IH F IH K EY SH AH N Z
JUXTAPOSITION	JH AH K S T AH P AH Z IH SH AH N
JUXTAPOSITIONAL	JH AH K S T AH P AH Z IH SH AH N AH L
JUXTAPOSITIONS	JH AH K S T AH P AH Z IH SH AH N Z
KATION	K EY SH AH N
KATIONS	K EY T IY AH N Z
KERATINIZATION	K EH R AH T AH N AH Z EY SH AH N
KERATINIZATIONS	K AH R AE T AH N AH Z EY T IY AH N Z
LABANOTATION	L AE B AH N OW T EY SH AH N
LABANOTATIONS	L AE B AH N OW T EY SH AH N Z
LABIALIZATION	L AE B IY AH L AH Z EY SH AH N
LABIALIZATIONS	L AE B IY AH L AH Z EY SH AH N Z
LACERATION	L AE S ER EY SH AH N
LACERATIONS	L AE S ER EY SH AH N Z
LACINIATION	L AH S IH N AY EY SH AH N
LACINIATIONS	L AE S AH N IY EY T IY AH N Z
LACRIMATION	L AE K R AH M EY SH AH N
LACRIMATIONS	L AE K R AH M EY T IY AH N Z
LACTATION	L AE K T EY SH AH N
LACTATIONAL	L AE K T EY SH AH N AH L
LACTATIONS	L AE K T EY SH AH N Z
LAICIZATION	L EY IH S AH Z EY SH AH N
LAICIZATIONS	L EY S AH Z EY T IY AH N Z
LAMENTATION	L AE M AH N T EY SH AH N
LAMENTATIONS	L AE M AH N T EY SH AH N Z
LAMINATION	L AE M AH N EY SH AH N
LAMINATIONS	L AE M AH N EY SH AH N Z
LATENSIFICATION	L EY T AH N Z AH F AH K EY SH AH N
LATENSIFICATIONS	L EY T AH N Z AH F AH K EY SH AH N Z
LATERALIZATION	L AE T AH R AH L AH Z EY SH AH N
LATERALIZATIONS	L AE T AH R AH L AH Z EY SH AH N Z
LATERIZATION	L EY T ER AH Z EY SH AH N
LATERIZATIONS	L EY T ER AH Z EY SH AH N Z
LATINIZATION	L AE T AH N AH Z EY SH AH N
LATINIZATIONS	L AE T AH N AH Z EY SH AH N Z
LAUDATION	L AO D EY SH AH N
LAUDATIONS	L AO D EY SH AH N Z
LAUREATION	L AO R IY AH SH AH N
LAUREATIONS	L AO R IY AH SH AH N Z
LAVATION	L EY V EY SH AH N
LAVATIONS	L AH V EY T IY AH N Z
LAXATION	L AE K S EY SH AH N
LAXATIONS	L AE K S EY SH AH N Z
LECTION	L EH K AH N
LECTIONARIES	L EH K T IY AA N AH R AY Z
LECTIONARY	L EH K T IY AH N EH R IY
LECTIONS	L EH K T IY AH N Z
LEGALIZATION	L IY G AH L AH Z EY SH AH N
LEGALIZATIONS	L IY G AH L AH Z EY SH AH N Z
LEGATION	L IH G EY SH AH N
LEGATIONS	L IH G EY SH AH N Z
LEGISLATION	L EH JH AH S L EY SH AH N
LEGISLATIONS	L EH JH AH S L EY SH AH N Z
LEGITIMATION	L IH JH IH T AH M EY SH AH N
LEGITIMATIONS	L IH JH IH T AH M EY SH AH N Z
LEGITIMIZATION	L IH JH IH T AH M AH Z EY SH AH N
LEGITIMIZATIONS	L IH JH IH T AH M AH Z EY SH AH N Z
LENITION	L IY N IH SH AH N
LENITIONS	L AH N IH T IY AH N Z
LEVIGATION	L EH V AH G EY SH AH N
LEVIGATIONS	L EH V AH G EY T IY AH N Z
LEVITATION	L EH V IH T EY SH AH N
LEVITATIONAL	L EH V AH T EY SH AH N AH L
LEVITATIONS	L EH V AH T EY SH AH N Z
LEXICALISATION	L EH K S IH K AH L IY Z EY SH AH N
LEXICALISATIONS	L EH K S IH K AH L IY Z EY SH AH N Z
LEXICALIZATION	L EH K S IH K AH L AH Z EY SH AH N
LEXICALIZATIONS	L EH K S IH K AH L AH Z EY SH AH N Z
LIBATION	L AY B EY SH AH N
LIBATIONARY	L AH B EY T IY AH N EH R IY
LIBATIONS	L AH B EY T IY AH N Z
LIBERALIZATION	L IH B ER AH L IH Z EY SH AH N
LIBERALIZATIONS	L IH B ER AH L IH Z EY SH AH N Z
LIBERATION	L IH B ER EY SH AH N
LIBERATIONIST	L IH B ER EY SH AH N IH S T
LIBERATIONISTS	L IH B ER EY SH AH N IH S T S
LIBERATIONS	L IH B ER EY SH AH N Z
LIBRATION	L AY B R EY SH AH N
LIBRATIONAL	L IH B R AH T IY AH N AH L
LIBRATIONS	L IH B R EY T IY AH N Z
LICENTIOUS	L AY S EH N CH AH S
LICENTIOUSLY	L AY S AH N T IY AH S L IY
LICENTIOUSNESS	L AY S AH N T IY AH S N AH S
LICENTIOUSNESSES	L AY S AH N T IY AH S N AH S IH Z
LIGATION	L AY G EY SH AH N
LIGATIONS	L AH G EY T IY AH N Z
LIGNIFICATION	L IH G N AH F AH K EY SH AH N
LIGNIFICATIONS	L IH G N AH F AH K EY T IY AH N Z
LIMITATION	L IH M IH T EY SH AH N
LIMITATIONAL	L IH M AH T EY SH AH N AH L
LIMITATIONS	L IH M IH T EY SH AH N Z
LINEARIZATION	L IH N IY ER AH Z EY SH AH N
LINEARIZATIONS	L IH N IY ER AH Z EY SH AH N Z
LINEATION	L IH N IY EY SH AH N
LINEATIONS	L IH N IY EY SH AH N Z
LIONIZATION	L AY AH N AH Z EY SH AH N
LIONIZATIONS	L AY AH N AH Z EY SH AH N Z
LIPOSUCTION	L IH P OW S AH K SH AH N
LIPOSUCTION(2)	L AY P OW S AH K SH AH N
LIPOSUCTIONS	L IH P AH S AH K T IY AH N Z
LIQUATION	L IH K W EY SH AH N
LIQUATIONS	L IH K W EY T IY AH N Z
LIQUEFACTION	L IH K W AH F AE K SH AH N
LIQUEFACTIONS	L IH K W AH F AE K T IY AH N Z
LIQUIDATION	L IH K W IH D EY SH AH N
LIQUIDATIONS	L IH K W IH D EY SH AH N Z
LITERALIZATION	L IH T AH R AH L AH Z EY SH AH N
LITERALIZATIONS	L IH T AH R AH L AH Z EY SH AH N Z
LITERATION	L IH T ER EY SH AH N
LITERATIONS	L IH T ER EY SH AH N Z
LITHIFICATION	L AY DH AH F AH K EY SH AH N
LITHIFICATIONS	L AY DH AH F AH K EY SH AH N Z
LITIGATION	L IH T AH G EY SH AH N
LITIGATIONS	L IH T AH G EY SH AH N Z
LIXIVIATION	L IH K S IH V AY EY SH AH N
LIXIVIATIONS	L IH K S AH V IY EY T IY AH N Z
LOBATION	L OW B EY SH AH N
LOBATIONS	L OW B EY SH AH N Z
LOBULATION	L AA B Y UW L EY SH AH N
LOBULATIONS	L AA B Y UW L EY SH AH N Z
LOCALIZATION	L OW K AH L AH Z EY SH AH N
LOCALIZATIONS	L OW K AE L AH Z EY SH AH N Z
LOCATION	L OW K EY SH AH N
LOCATIONAL	L OW K EY SH AH N AH L
LOCATIONALLY	L OW K EY SH AH N AH L IY
LOCATIONS	L OW K EY SH AH N Z
LOCOMOTION	L OW K AH M OW SH AH N
LOCOMOTIONS	L OW K AH M OW SH AH N Z
LOCUTION	L OW K Y UW SH AH N
LOCUTIONS	L OW K Y UW SH AH N Z
LOTION	L OW SH AH N
LOTIONS	L OW SH AH N Z
LUBRICATION	L UW B R IH K EY SH AH N
LUBRICATIONS	L UW B R AH K EY SH AH N Z
LUCUBRATION	L UW K AH B R EY SH AH N
LUCUBRATIONS	L UW K AH B R EY T IY AH N Z
LUNATION	L UW N EY SH AH N
LUNATIONS	L UW N EY SH AH N Z
LUSTRATION	L AH S T ER EY SH AH N
LUSTRATIONS	L AH S T ER EY SH AH N Z
LUTEINIZATION	L UW T IH N AH Z EY SH AH N
LUTEINIZATIONS	L UW T IH N AH Z EY SH AH N Z
LUXATION	L AH K S EY SH AH N
LUXATIONS	L AH K S EY T IY AH N Z
LYOPHILIZATION	L AY AA F AH L AY Z EY SH AH N
LYOPHILIZATIONS	L AY AA F AH L AY Z EY SH AH N Z
LYSOGENIZATION	L IH S AH JH AH N AH Z EY SH AH N
LYSOGENIZATIONS	L AH S AA JH AH N AH Z EY T IY AH N Z
MACERATION	M AE S AH R EY SH AH N
MACERATIONS	M AE S AH R EY T IY AH N Z
MACHICOLATION	M AH CH IH K AH L EY SH AH N
MACHICOLATIONS	M AE CH AH K AH L EY T IY AH N Z
MACHINATION	M AE K AH N EY SH AH N
MACHINATION(2)	M AE SH AH N EY SH AH N
MACHINATIONS	M AE K AH N EY SH AH N Z
MACHINATIONS(2)	M AE SH AH N EY SH AH N Z
MACROEVOLUTION	M AE K R OW EH V AH L Y UW T IY AH N
MACROEVOLUTIONARY	M AE K R OW AH V AH L UW T IY AH N EH R IY
MACROEVOLUTIONS	M AE K R OW AH V AH L UW T IY AH N Z
MACROINSTRUCTION	M AE K R OY N S T R AH K AH N
MACROINSTRUCTIONS	M AE K R OY N S T R AH K T IY AH N Z
MACULATION	M AE K Y AH L EY SH AH N
MACULATIONS	M AE K Y AH L EY SH AH N Z
MAGNETIZATION	M AE G N AH T AH Z EY SH AH N
MAGNETIZATIONS	M AE G N AH T AH Z EY SH AH N Z
MAGNETOSTRICTION	M AE G N AH T AA S T R IH K AH N
MAGNETOSTRICTIONS	M AE G N AH T AH S T R IH K T IY AH N Z
MAGNIFICATION	M AE G N AH F AH K EY SH AH N
MAGNIFICATIONS	M AE G N AH F AH K EY SH AH N Z
MALABSORPTION	M AE L AH B Z AO R P SH AH N
MALABSORPTIONS	M AE L AH B Z AO R P SH AH N Z
MALADAPTATION	M AE L AE D AE P T EY SH AH N
MALADAPTATIONS	M AE L AE D AE P T EY SH AH N Z
MALADMINISTRATION	M AE L AH D M IH N AH S T R EY SH AH N
MALADMINISTRATIONS	M AE L AH D M IH N AH S T R EY SH AH N Z
MALAPPORTIONED	M AE L AH P OW R SH AH N D
MALAPPORTIONMENT	M AE L AH P OW R SH AH N M AH N T
MALAPPORTIONMENTS	M AE L AH P OW R SH AH N M AH N T S
MALDISTRIBUTION	M AE L D IH S T R AH B Y UW SH AH N
MALDISTRIBUTIONS	M AE L D IH S T R AH B Y UW SH AH N Z
MALEDICTION	M AE L AH D IH K SH AH N
MALEDICTIONS	M AE L AH D IH K SH AH N Z
MALEFACTION	M EY L F AE K SH AH N
MALEFACTIONS	M EY L F AE K SH AH N Z
MALFORMATION	M AE L F AO R M EY SH AH N
MALFORMATIONS	M AE L F AO R M EY SH AH N Z
MALFUNCTION	M AE L F AH NG K SH AH N
MALFUNCTIONED	M AE L F AH NG K SH AH N D
MALFUNCTIONING	M AE L F AH NG K SH AH N IH NG
MALFUNCTIONS	M AE L F AH NG K SH AH N Z
MALNUTRITION	M AE L N UW T R IH SH AH N
MALNUTRITIONS	M AE L N UH T R IH SH AH N Z
MALPOSITION	M AE L P AH Z IH SH AH N
MALPOSITIONS	M AE L P AH Z IH SH AH N Z
MALPRACTITIONER	M AE L P R AE K T IH SH AH N ER
MALPRACTITIONERS	M AE L P R AE K T IH SH AH N ER Z
MALVERSATION	M AE L V ER S EY SH AH N
MALVERSATIONS	M AE L V ER S EY SH AH N Z
MANIFESTATION	M AE N AH F EH S T EY SH AH N
MANIFESTATIONS	M AE N AH F EH S T EY SH AH N Z
MANIPULATION	M AH N IH P Y AH L EY SH AH N
MANIPULATIONS	M AH N IH P Y AH L EY SH AH N Z
MARGINALIZATION	M AA R JH AH N AH L AH Z EY SH AH N
MARGINALIZATIONS	M AA R JH AH N AH L AH Z EY SH AH N Z
MARGINATION	M AA R JH AH N EY SH AH N
MARGINATIONS	M AA R JH AH N EY SH AH N Z
MARINATION	M AH R IY N EY SH AH N
MARINATIONS	M AH R IY N EY SH AH N Z
MARTYRIZATION	M AA R T ER AH Z EY SH AH N
MARTYRIZATIONS	M AA R T ER AH Z EY SH AH N Z
MASCULINIZATION	M AE S K Y AH L AH N AH Z EY SH AH N
MASCULINIZATIONS	M AE S K Y AH L AH N AH Z EY SH AH N Z
MASTICATION	M AE S T IH K EY SH AH N
MASTICATIONS	M AE S T IH K EY SH AH N Z
MASTURBATION	M AE S T ER B EY SH AH N
MASTURBATIONS	M AE S T AH R B EY T IY AH N Z
MATERIALIZATION	M AH T IH R IY AH L AH Z EY SH AH N
MATERIALIZATIONS	M AH T IH R IY AH L AH Z EY SH AH N Z
MATHEMATIZATION	M AE T HH EH M AH T AH Z EY SH AH N
MATHEMATIZATIONS	M AE T HH EH M AH T AH Z EY SH AH N Z
MATRICULATION	M AH T R IH K Y AH L EY SH AH N
MATRICULATIONS	M AH T R IH K Y AH L EY SH AH N Z
MATURATION	M AE CH ER EY SH AH N
MATURATION(2)	M AE CH UH R EY SH AH N
MATURATIONAL	M AE CH AH R EY SH AH N AH L
MATURATIONS	M AE CH AH R EY SH AH N Z
MAXIMIZATION	M AE K S IH M IH Z EY SH AH N
MAXIMIZATIONS	M AE K S AH M AH Z EY SH AH N Z
MECHANIZATION	M EH K AH N AH Z EY SH AH N
MECHANIZATIONS	M EH K AH N AH Z EY SH AH N Z
MECHANORECEPTION	M EH CH AH N AO R AH S EH P AH N
MECHANORECEPTIONS	M AH CH AE N AH R AH S EH P T IY AH N Z
MEDIATION	M IY D IY EY SH AH N
MEDIATIONAL	M IY D IY EY SH AH N AH L
MEDIATIONS	M IY D IY EY SH AH N Z
MEDICATION	M EH D AH K EY SH AH N
MEDICATIONS	M EH D AH K EY SH AH N Z
MEDITATION	M EH D AH T EY SH AH N
MEDITATIONS	M EH D IH T EY SH AH N Z
MEGACORPORATION	M EH G AH K AO R P AH R EY SH AH N
MEGACORPORATIONS	M AH G AH K AO R P AH R EY T IY AH N Z
MELANIZATION	M EH L AH N AH Z EY SH AH N
MELANIZATIONS	M EH L AH N AH Z EY T IY AH N Z
MELIORATION	M IY L Y AH R EY SH AH N
MELIORATIONS	M IY L Y AH R EY SH AH N Z
MELODRAMATIZATION	M AH L AA D R AH M AH T AH Z EY SH AH N
MELODRAMATIZATIONS	M AH L AH D R AE M AH T AH Z EY T IY AH N Z
MEMORIZATION	M EH M ER AH Z EY SH AH N
MEMORIZATIONS	M EH M ER AH Z EY SH AH N Z
MENSTRUATION	M EH N S T R UW EY SH AH N
MENSTRUATIONS	M EH N S T R AH W EY SH AH N Z
MENSURATION	M EH N Z Y ER EY SH AH N
MENSURATIONS	M EH N Z Y ER EY SH AH N Z
MENTATION	M EH N T EY SH AH N
MENTATIONS	M EH N T EY SH AH N Z
MENTION	M EH N SH AH N
MENTIONABLE	M EH N CH AH N AH B AH L
MENTIONED	M EH N SH AH N D
MENTIONER	M EH N CH AH N ER
MENTIONERS	M EH N CH AH N ER Z
MENTIONING	M EH N SH AH N IH NG
MENTIONS	M EH N SH AH N Z
MERCERIZATION	M ER S ER AH Z EY SH AH N
MERCERIZATIONS	M ER S ER AH Z EY SH AH N Z
MERCURATION	M AH R K Y AH R EY SH AH N
MERCURATIONS	M AH R K Y AH R EY T IY AH N Z
METAFICTION	M EH T AH F IH K SH AH N
METAFICTIONAL	M EH T AH F IH K SH AH N AH L
METAFICTIONIST	M EH T AH F IH K SH AH N IH S T
METAFICTIONISTS	M EH T AH F IH K SH AH N IH S T S
METAFICTIONS	M EH T AH F IH K SH AH N Z
METALLIZATION	M EH T AH L AH Z EY SH AH N
METALLIZATIONS	M EH T AH L AH Z EY SH AH N Z
METHANATION	M EH TH AH N EY SH AH N
METHANATIONS	M EH TH AH N EY T IY AH N Z
METHYLATION	M EH TH AH L EY SH AH N
METHYLATIONS	M EH TH AH L EY SH AH N Z
METRICATION	M EH T R IH K EY SH AH N
METRICATIONS	M EH T R IH K EY SH AH N Z
MICROCIRCULATION	M AY K R OW S ER K Y AH L EY SH AH N
MICROCIRCULATIONS	M AY K R OW S ER K Y AH L EY SH AH N Z
MICRODISSECTION	M AY K R OW D IH S EH K SH AH N
MICRODISSECTIONS	M AY K R OW D IH S EH K SH AH N Z
MICROENCAPSULATION	M AY K R OW EH N K AE P S AH L EY SH AH N
MICROENCAPSULATIONS	M AY K R OW EH N K AE P S AH L EY SH AH N Z
MICROEVOLUTION	M AY K R OW EH V AH L UW SH AH N
MICROEVOLUTIONARY	M AY K R OW EH V AH L UW SH AH N EH R IY
MICROEVOLUTIONS	M AY K R OW EH V AH L UW SH AH N Z
MICROINJECTION	M AY K R OW IH N JH EH K SH AH N
MICROINJECTIONS	M AY K R OW IH N JH EH K SH AH N Z
MICROINSTRUCTION	M AY K R OW IH N S T R AH K SH AH N
MICROINSTRUCTIONS	M AY K R OW IH N S T R AH K SH AH N Z
MICROMANIPULATION	M AY K R OW M AH N IH P Y AH L EY SH AH N
MICROMANIPULATIONS	M AY K R OW M AH N IH P Y AH L EY SH AH N Z
MICROMINIATURIZATION	M AY K R OW M IH N IY AH CH UH R AH Z EY SH AH N
MICROMINIATURIZATIONS	M AY K R OW M IH N IY AH CH UH R AH Z EY SH AH N Z
MICROPROJECTION	M AY K R OW P R AA JH EH K SH AH N
MICROPROJECTIONS	M AY K R OW P R AA JH EH K SH AH N Z
MICROPULSATION	M AY K R OW P AH L S EY SH AH N
MICROPULSATIONS	M AY K R OW P AH L S EY SH AH N Z
MICROREPRODUCTION	M AY K R OW R IY P R AA D AH K SH AH N
MICROREPRODUCTIONS	M AY K R OW R IY P R AA D AH K SH AH N Z
MICTURITION	M IH K T Y AH R IH SH AH N
MICTURITIONS	M IH K T Y AH R IH T IY AH N Z
MIDSECTION	M IH D S EH K SH AH N
MIDSECTIONS	M IH D S EH K SH AH N Z
MIGRATION	M AY G R EY SH AH N
MIGRATIONAL	M AY G R EY SH AH N AH L
MIGRATIONS	M AY G R EY SH AH N Z
MILITARIZATION	M IH L AH T ER AH Z EY SH AH N
MILITARIZATIONS	M IH L AH T ER AH Z EY SH AH N Z
MINERALIZATION	M IH N ER AH L AH Z EY SH AH N
MINERALIZATIONS	M IH N AH R AH L AH Z EY SH AH N Z
MINIATURIZATION	M IH N IY AH CH ER IH Z EY SH AH N
MINIATURIZATIONS	M IH N IY AH CH UH R AH Z EY SH AH N Z
MINIMIZATION	M IH N AH M AH Z EY SH AH N
MINIMIZATIONS	M IH N AH M AH Z EY SH AH N Z
MINISTRATION	M IH N AH S T R EY SH AH N
MINISTRATIONS	M IH N AH S T R EY SH AH N Z
MISADMINISTRATION	M IH S AH D M IH N AH S T R EY SH AH N
MISADMINISTRATIONS	M IH S AH D M IH N AH S T R EY SH AH N Z
MISALLOCATION	M IH S AE L AH K EY SH AH N
MISALLOCATIONS	M IH S AE L AH K EY SH AH N Z
MISAPPLICATION	M IH S AE P L AH K EY SH AH N
MISAPPLICATIONS	M IH S AE P L IH K EY SH AH N Z
MISAPPROPRIATION	M IH S AH P R OW P R IY EY SH AH N
MISAPPROPRIATIONS	M IH S AH P R OW P R IY EY SH AH N Z
MISASSUMPTION	M IH S AH S AH M P SH AH N
MISASSUMPTIONS	M IH S AH S AH M P SH AH N Z
MISATTRIBUTION	M IH S AE T R AH B Y UW SH AH N
