PH	P IY EY CH
PHYSOSTIGMINES	F AH S AA S T AH G M AY N Z
PHYTANE	F AH T EY N
PHYTANES	F AH T EY N Z
PHYTOALEXIN	F IH T AH L EH K S AH N
PHYTOALEXINS	F IH T AH L EH K S AH N Z
PHYTOCHEMICAL	F AH T AA K AH M IH S AH L
PHYTOCHEMICALLY	F IH T AH K EH M AH K AE L IY
PHYTOCHEMIST	F AH T AA K AH M AH S T
PHYTOCHEMISTRIES	F IH T AH K AH M IH S T R AY Z
PHYTOCHEMISTRY	F AH T AA K AH M IH S T R IY
PHYTOCHEMISTS	F AH T AA K AH M AH S T S
PHYTOCHROME	F IH T AH K R OW M
PHYTOCHROMES	F IH T AH K R OW M Z
PHYTOFLAGELLATE	F AH T AA F L AE JH AH L EY T
PHYTOFLAGELLATES	F AH T AA F L AE JH AH L EY T S
PHYTOGEOGRAPHER	F AH T OW JH IY AA G R AH F AH R
PHYTOGEOGRAPHERS	F AH T OW JH IY AA G R AH F AH R Z
PHYTOGEOGRAPHIC	F AH T OW JH IY AA G R AH F AH K
PHYTOGEOGRAPHICAL	F AH T OW JH IY AA G R AH F IH S AH L
PHYTOGEOGRAPHICALLY	F AH T OW JH IY AA G R AE F AH K AE L IY
PHYTOGEOGRAPHIES	F AH T OW JH IY AA G R AH F AY Z
PHYTOGEOGRAPHY	F AY T OW JH IY AA G R AH F IY
PHYTOHEMAGGLUTININ	F AH T AA HH AH M AH G L UW T AH N AH N
PHYTOHEMAGGLUTININS	F AH T AA HH AH M AH G L UW T AH N AH N Z
PHYTOHORMONE	F AH T AA HH AH R M OW N
PHYTOHORMONES	F AH T AA HH AH R M OW N Z
PHYTOID	F AY T OY D
PHYTOL	F IH T AH L
PHYTOLS	F IH T AH L Z
PHYTON	F IH T AH N
PHYTONIC	F IH T AH N AH K
PHYTONS	F IH T AH N Z
PHYTOPATHOGEN	F IH T AH P AE TH AH JH AH N
PHYTOPATHOGENIC	F IH T AH P AE TH AH JH AH N AH K
PHYTOPATHOGENS	F IH T AH P AE TH AH JH AH N Z
PHYTOPATHOLOGICAL	F IH T AH P AH TH AA L AH JH IH S AH L
PHYTOPATHOLOGIES	F IH T AH P AH TH AA L AH JH AY Z
PHYTOPATHOLOGY	F IH T AH P AH TH AA L AH JH IY
PHYTOPHAGOUS	F IH T AH F EY JH AH S
PHYTOPLANKTER	F AH T AA P L AE NG K T AH R
PHYTOPLANKTERS	F IH T AH P L AE NG K T AH R Z
PHYTOPLANKTON	F AY T OW P L AE NG T AH N
PHYTOPLANKTONIC	F IH T AH P L AE NG K T AH N AH K
PHYTOPLANKTONS	F IH T AH P L AE NG K T AH N Z
PHYTOSOCIOLOGICAL	F IH T AH S AH S IY AA L AH JH IH S AH L
PHYTOSOCIOLOGIES	F AH T AH S AH S IY AA L AH JH AY Z
PHYTOSOCIOLOGY	F IH T AH S AH S IY AA L AH JH IY
PHYTOSTEROL	F AH T AA S T AH R AH L
PHYTOSTEROLS	F AH T AA S T AH R AH L Z
PHYTOTOXIC	F IH T AH T AH K S AH K
PHYTOTOXICITIES	F IH T AH T AA K S IH S AH T AY Z
PHYTOTOXICITY	F IH T AH T AA K S IH S AH T IY
PICTOGRAPH	P IH K T AA G R AH F
PICTOGRAPHIC	P IH K T AA G R AH F AH K
PICTOGRAPHIES	P IH K T AA G R AH F AY Z
PICTOGRAPHS	P IH K T AA G R AH F S
PICTOGRAPHY	P IH K T AA G R AH F IY
PICTUREPHONE	P IH K CH ER F OW N
PICTUREPHONES	P IH K CH ER F OW N Z
PLANISPHERE	P L AH N IH S AH R
PLANISPHERES	P L AE N AH S IY R Z
PLANISPHERIC	P L AH N IH S AH R AH K
PLANOGRAPHIC	P L AH N AA G R AH F AH K
PLANOGRAPHIES	P L AH N AA G R AH F AY Z
PLANOGRAPHY	P L AH N AA G R AH F IY
PLASMAPHERESES	P L AE Z M AE F AH R IY Z AH Z
PLASMAPHERESIS	P L AE Z M AH F IH R AH S AH S
PLEOMORPHIC	P L IY AH M AO F IH K
PLEOMORPHISM	P L IY AH M AO F IH Z M
PLEOMORPHISMS	P L IY AH M AO R F AH Z AH M Z
PLETHYSMOGRAPH	P L EH TH AH Z M AA G R AH F
PLETHYSMOGRAPHIC	P L EH TH AH Z M AA G R AH F AH K
PLETHYSMOGRAPHICALLY	P L AH TH IH Z M AA G R AE F AH K AE L IY
PLETHYSMOGRAPHIES	P L EH TH AH Z M AA G R AH F AY Z
PLETHYSMOGRAPHS	P L EH TH AH Z M AA G R AH F S
PLETHYSMOGRAPHY	P L EH TH AH Z M AA G R AH F IY
PNEUMATOPHORE	N Y UW M AE T AH F AH R
PNEUMATOPHORES	N Y UW M AE T AH F AH R Z
PNEUMOGRAPH	N Y UW M AA G R AH F
PNEUMOGRAPHS	N Y UW M AA G R AH F S
PODOPHYLLI	P AA D AH F IH L IY
PODOPHYLLIN	P AA D AH F IH L AH N
PODOPHYLLINS	P AA D AH F IH L AH N Z
PODOPHYLLUM	P AA D AH F IH L AH M
PODOPHYLLUMS	P AA D AH F IH L AH M Z
POGONOPHORAN	P AA G AH N AA F AH R AH N
POGONOPHORANS	P AA G AH N AA F AH R AH N Z
POLAROGRAPHIC	P AA L AH R AA G R AH F AH K
POLAROGRAPHICALLY	P AA L AH R AA G R AE F AH K AE L IY
POLAROGRAPHIES	P AA L AH R AA G R AH F AY Z
POLAROGRAPHY	P OW L ER AA G R AH F IY
POLYCHROMATOPHILIA	P AH L AH K R AA M AH T AH F IH L Y AH
POLYCHROMATOPHILIAS	P AH L AH K R AA M AH T AH F IH L Y AH Z
POLYCHROMATOPHILIC	P AA L AH K R AH M AE T AH F AY L AH K
POLYGRAPH	P AA L IY G R AE F
POLYGRAPHER	P OW L IY G R AE F ER
POLYGRAPHERS	P OW L IY G R AE F ER Z
POLYGRAPHIC	P OW L IY G R AE F IH K
POLYGRAPHIST	P OW L IY G R AE F IH S T
POLYGRAPHISTS	P OW L IY G R AE F IH S T S
POLYGRAPHS	P AA L IY G R AE F S
POLYMORPH	P AA L IY M AO R F
POLYMORPHIC	P AA L IY M AO R F IH K
POLYMORPHICALLY	P OW L IY M AO R F IH K AH L IY
POLYMORPHISM	P AA L IY M AO R F IH Z M
POLYMORPHISMS	P OW L IY M AO R F IH Z AH M Z
POLYMORPHONUCLEAR	P AH L AH M AO R F AH N AH K L IY AH R
POLYMORPHONUCLEARS	P AH L AH M AO R F AA N AH K L IY R Z
POLYMORPHOUS	P OW L IY M AO R F AH S
POLYMORPHOUSLY	P OW L IY M AO R F AH S L IY
POLYMORPHS	P OW L IY M AO R F S
POLYPHAGIA	P AA L AH F EY JH IY AH
POLYPHAGIAS	P AA L AH F EY JH IY AH Z
POLYPHAGIES	P AH L IH F AH JH AY Z
POLYPHAGOUS	P AA L AH F EY JH AH S
POLYPHAGY	P AH L IH F AH JH IY
POLYPHASE	P AA L IY F EY Z
POLYPHASIC	P OW L IY F EY Z IH K
POLYPHENOL	P AH L IH F AH N AH L
POLYPHENOLIC	P AH L IH F AH N AH L AH K
POLYPHENOLS	P AH L IH F AH N AH L Z
POLYPHILOPROGENITIVE	P AH L IH F AH L AA P R AH JH EH N AH T AH V
POLYPHONE	P OW L IY F OW N
POLYPHONES	P OW L IY F OW N Z
POLYPHONIC	P AA L IH F AA N IH K
POLYPHONICALLY	P OW L IY F AA N IH K AH L IY
POLYPHONIES	P OW L IY F OW N IY Z
POLYPHONOUS	P OW L IY F OW N AH S
POLYPHONOUSLY	P OW L IY F OW N AH S L IY
POLYPHONY	P AH L IH F AH N IY
POLYPHYLETIC	P AH L IH F AH L AH T AH K
POLYPHYLETICALLY	P AA L AH F AH L EH T AH K AE L IY
PORNOGRAPHER	P AO R N AA G R AH F ER
PORNOGRAPHERS	P AO R N AA G R AH F ER Z
PORNOGRAPHIC	P AO R N AH G R AE F IH K
PORNOGRAPHICALLY	P AO R N AH G R AE F IH K AH L IY
PORNOGRAPHIES	P AO R N AA G R AH F AY Z
PORNOGRAPHY	P AO R N AA G R AH F IY
PORPHYRIA	P AO R F IH R IY AH
PORPHYRIAS	P AO R F IH R IY AH Z
PORPHYRIES	P AO R F AH R AY Z
PORPHYRIN	P AO R F AH R AH N
PORPHYRINS	P AO R F AH R AH N Z
PORPHYRITIC	P AO R F ER IH T IH K
PORPHYROPSIN	P AO R F AH R AA P S AH N
PORPHYROPSINS	P AO R F AH R AA P S AH N Z
PORPHYRY	P AO R F ER IY
POSTENCEPHALITIC	P AA S T AH N S EH F AH L AH T AH K
PROCEPHALIC	P R OW S EH F AH L AH K
PRONEPHRA	P R OW N EH F R AH
PRONEPHRIC	P R OW N EH F R AH K
PRONEPHROI	P R OW N EH F R OY
PRONEPHROS	P R OW N EH F R AH Z
PROPHAGE	P R AA F AH JH
PROPHAGES	P R AA F AH JH AH Z
PROPHASE	P R OW F EY Z
PROPHASES	P R OW F EY Z IH Z
PROPHASIC	P R OW F EY Z IH K
PROPHECIES	P R AA F AH S IY Z
PROPHECY	P R AA F AH S IY
PROPHESIED	P R AA F AH S AY D
PROPHESIED(2)	P R AA F AH S IY D
PROPHESIER	P R AA F AH S AY ER
PROPHESIERS	P R AA F AH S AY ER Z
PROPHESIES	P R AA F AH S AY Z
PROPHESY	P R AA F AH S AY
PROPHESYING	P R AA F AH S AY IH NG
PROPHET	P R AA F AH T
PROPHETESS	P R AA F AH T AH S
PROPHETESSES	P R AA F AH T AH S IH Z
PROPHETHOOD	P R AA F AH T HH UH D
PROPHETHOODS	P R AA F AH T HH UH D Z
PROPHETIC	P R AH F EH T IH K
PROPHETICAL	P R AH F EH T IH K AH L
PROPHETICALLY	P R AH F EH T IH K AH L IY
PROPHETS	P R AA F AH T S
PROPHYLACTIC	P R AA F IH L AE K T IH K
PROPHYLACTIC(2)	P R OW F IH L AE K T IH K
PROPHYLACTICALLY	P R OW F AH L AE K T AH K AE L IY
PROPHYLACTICS	P R OW F AH L AE K T AH S Z
PROPHYLAXES	P R OW F IH L AH K S
PROPHYLAXIS	P R OW F AH L AE K S AH S
PROPOXYPHENE	P R OW P AA K S AH F IY N
PROPOXYPHENES	P R OW P AA K S AH F IY N Z
PROSENCEPHALA	P R OW S EH N S EH F AH L AH
PROSENCEPHALIC	P R OW S EH N S AH F AH L AH K
PROSENCEPHALON	P R OW S EH N S EH F AH L AH N
PROSOPOGRAPHICAL	P R OW S AH P AA G R AH F IH S AH L
PROSOPOGRAPHIES	P R OW S AH P AA G R AH F AY Z
PROSOPOGRAPHY	P R OW S AH P AA G R AH F IY
PROTOPHLOEM	P R OW T AA F L OW AH M
PROTOPHLOEMS	P R OW T AA F L OW AH M Z
PROTOPORPHYRIN	P R OW T AH P AO R F AH R AH N
PROTOPORPHYRINS	P R OW T AH P AO R F AH R AH N Z
PROTOTROPH	P R OW T AA T R AH F
PROTOTROPHIC	P R OW T AA T R AH F AH K
PROTOTROPHIES	P R OW T AA T R AH F AY Z
PROTOTROPHS	P R OW T AA T R AH F S
PROTOTROPHY	P R OW T AA T R AH F IY
PSEPHITE	S AH F AY T
PSEPHITES	S AH F AY T S
PSEPHOLOGICAL	S AH F AA L AH JH IH S AH L
PSEPHOLOGIES	S AH F AA L AH JH AY Z
PSEPHOLOGIST	S AH F AA L AH JH AH S T
PSEPHOLOGISTS	S AH F AA L AH JH AH S T S
PSEPHOLOGY	S AH F AA L AH JH IY
PSEUDEPIGRAPH	S UW D AH P IH G R AH F
PSEUDEPIGRAPHA	S UW D AH P IH G R AH F AH
PSEUDEPIGRAPHIES	S UW D AH P IH G R AH F AY Z
PSEUDEPIGRAPHON	S UW D AH P IH G R AH F AH N
PSEUDEPIGRAPHS	S UW D AH P IH G R AH F S
PSEUDEPIGRAPHY	S UW D AH P IH G R AH F IY
PSEUDOMORPH	S UW D OW M AO R F
PSEUDOMORPHIC	S UW D OW M AO R F IH K
PSEUDOMORPHISM	S UW D OW M AO R F IH Z AH M
PSEUDOMORPHISMS	S UW D OW M AO R F IH Z AH M Z
PSEUDOMORPHOUS	S UW D OW M AO R F AH S
PSEUDOMORPHS	S UW D OW M AO R F S
PSEUDOSOPHISTICATED	S UW D OW S AA F IH S T IH K EY T IH D
PSEUDOSOPHISTICATION	S UW D OW S AA F IH S T IH K EY SH AH N
PSEUDOSOPHISTICATIONS	S UW D OW S AA F IH S T IH K EY SH AH N Z
PSILOPHYTE	S IH L AH F AY T
PSILOPHYTES	S IH L AH F AY T S
PSILOPHYTIC	S IH L AH F AH T AH K
PSYCHOBIOGRAPHER	S AY K OW B AY AA G R AH F ER
PSYCHOBIOGRAPHERS	S AY K OW B AY AA G R AH F ER Z
PSYCHOBIOGRAPHICAL	S AY K OW B AY AH G R AE F IH K AH L
PSYCHOBIOGRAPHIES	S AY K OW B AY AA G R AH F IY Z
PSYCHOBIOGRAPHY	S AY K OW B AY AA G R AH F IY
PSYCHOGRAPH	S AY K OW G R AE F
PSYCHOGRAPHS	S AY K OW G R AE F S
PSYCHOPHARMACOLOGIC	S AY K OW F AA R M AH K AH L AA JH IH K
PSYCHOPHARMACOLOGICAL	S AY K OW F AA R M AH K AH L AA JH IH K AH L
PSYCHOPHARMACOLOGIES	S AY K AH F AA R M AH K AA L AH JH AY Z
PSYCHOPHARMACOLOGIST	S AY K AH F AA R M AH K AA L AH JH AH S T
PSYCHOPHARMACOLOGISTS	S AY K AH F AA R M AH K AA L AH JH AH S T S
PSYCHOPHARMACOLOGY	S AY K AH F AA R M AH K AA L AH JH IY
PSYCHOPHYSICAL	S AY K OW F IH Z AH K AH L
PSYCHOPHYSICALLY	S AY K OW F IH Z AH K AH L IY
PSYCHOPHYSICIST	S AY K OW F IH Z AH S AH S T
PSYCHOPHYSICISTS	S AY K OW F IH Z AH S AH S T S
PSYCHOPHYSICS	S AY K OW F IH Z IH K S
PSYCHOPHYSIOLOGIC	S AY K OW F IH Z IY AH L AE JH IH K
PSYCHOPHYSIOLOGICAL	S AY K OW F IH Z IY AH L AE JH IH K AH L
PSYCHOPHYSIOLOGICALLY	S AY K OW F IH Z IY AH L AE JH IH K AH L IY
PSYCHOPHYSIOLOGIES	S AY K OW F IH Z IY AA L AH JH IY Z
PSYCHOPHYSIOLOGIST	S AY K AH F AH S IY AA L AH JH AH S T
PSYCHOPHYSIOLOGISTS	S AY K AH F IH S IY AA L AH JH AH S T S
PSYCHOPHYSIOLOGY	S AY K OW F IH Z IY AA L AH JH IY
PSYCHROPHILIC	S AY K R AH F AY L AH K
PTERIDOPHYTE	T AH R IH D AH F AY T
PTERIDOPHYTES	T AH R IH D AH F AY T S
PYELONEPHRITIC	P AY AH L AH N EH F R AH T AH K
PYELONEPHRITIDES	P AY AH L AH N EH F R AH T AY D Z
PYELONEPHRITIS	P AY EH L AH N AH F R AY T AH S
PYROMORPHITE	P AH R AA M AH R F AY T
PYROMORPHITES	P AH R AA M AH R F AY T S
PYRONINOPHILIC	P IH R AH N IH N AH F AY L AH K
PYROPHORIC	P IH R AH F AH R AH K
PYROPHOSPHATE	P AY R OW F AA S F EY T
PYROPHOSPHATES	P AY R OW F AA S F EY T S
PYROPHYLLITE	P AH R AA F AH L AY T
PYROPHYLLITES	P AH R AA F AH L AY T S
QOPH	K AA F
QOPHS	K AA F S
QUADRAPHONIC	K W AA D R AH F AH N AH K
QUADRAPHONICS	K W AA D R AE F AH N AH S Z
QUADRIPHONIC	K W AA D R AH F AH N AH K
QUADRIPHONICS	K W AA D R IH F AH N AH S Z
RADIOAUTOGRAPH	R EY D IY OW AO T AH G R AE F
RADIOAUTOGRAPHIC	R EY D IY OW AO T AH G R AE F IH K
RADIOAUTOGRAPHIES	R EY D IY OW AO T AH G R AE F IY Z
RADIOAUTOGRAPHS	R EY D IY OW AO T AH G R AE F S
RADIOAUTOGRAPHY	R EY D IY OW AO T AH G R AE F IY
RADIOGRAPH	R EY D IY OW G R AE F
RADIOGRAPHED	R EY D IY OW G R AE F T
RADIOGRAPHIC	R EY D IY OW G R AE F IH K
RADIOGRAPHICALLY	R EY D IY OW G R AE F IH K AH L IY
RADIOGRAPHIES	R EY D IY AA G R AH F IY Z
RADIOGRAPHING	R EY D IY OW G R AE F IH NG
RADIOGRAPHS	R EY D IY OW G R AE F S
RADIOGRAPHY	R EY D IY AA G R AH F IY
RADIOPHARMACEUTICAL	R EY D IY OW F AA R M AH S UW T IH K AH L
RADIOPHARMACEUTICALS	R EY D IY OW F AA R M AH S UW T IH K AH L Z
RADIOPHONE	R EY D IY OW F OW N
RADIOPHONES	R EY D IY OW F OW N Z
RADIOPHOTO	R EY D IY OW F OW T OW
RADIOPHOTOS	R EY D IY OW F OW T OW Z
RADIOTELEGRAPH	R EY D IY OW T EH L AH G R AE F
RADIOTELEGRAPHIES	R EY D IY OW T AH L EH G R AH F IY Z
RADIOTELEGRAPHS	R EY D IY OW T EH L AH G R AE F S
RADIOTELEGRAPHY	R EY D IY OW T AH L EH G R AH F IY
RADIOTELEPHONE	R EY D IY OW T EH L AH F OW N
RADIOTELEPHONES	R EY D IY OW T EH L AH F OW N Z
RADIOTELEPHONIES	R EY D IY OW T EH L AH F OW N IY Z
RADIOTELEPHONY	R EY D IY OW T EH L AH F OW N IY
RALPH	R AE L F
RALPHED	R AE L F T
RALPHING	R AE L F AH NG
RALPHS	R AE L F S
RAPHAE	R AE F IY
RAPHE	R AE F
RAPHES	R AE F S
RAPHIA	R AE F IY AH
RAPHIAS	R AE F IY AH Z
RAPHIDE	R AE P HH AY D
RAPHIDES	R AE P HH AY D Z
RAPHIS	R AE F AH S
REAPHOOK	R IY P HH UH K
REAPHOOKS	R IY P HH UH K S
RECHOREOGRAPH	R IY K OW R IY AH G R AE F
RECHOREOGRAPHED	R IY K OW R IY AH G R AE F T
RECHOREOGRAPHING	R IY K OW R IY AH G R AE F IH NG
RECHOREOGRAPHS	R IY K OW R IY AH G R AE F S
RECHROMATOGRAPH	R IH K R AA M AH T AA G R AH F
RECHROMATOGRAPHED	R IH K R AA M AH T AA G R AH F T
RECHROMATOGRAPHIES	R IY K R OW M AH T AA G R AH F IY Z
RECHROMATOGRAPHING	R IH K R AA M AH T AA G R AH F AH NG
RECHROMATOGRAPHS	R IH K R AA M AH T AA G R AH F S
RECHROMATOGRAPHY	R IY K R OW M AH T AA G R AH F IY
REEMPHASES	R IY EH M F AH S IY Z
REEMPHASIS	R IY EH M F AH S AH S
REEMPHASIZE	R IY EH M F AH S AY Z
REEMPHASIZED	R IY EH M F AH S AY Z D
REEMPHASIZES	R IY EH M F AH S AY Z IH Z
REEMPHASIZING	R IY EH M F AH S AY Z IH NG
RENOGRAPHIC	R AH N AA G R AH F AH K
RENOGRAPHIES	R AH N AA G R AH F AY Z
RENOGRAPHY	R AH N AA G R AH F IY
REPHOTOGRAPH	R IY F OW T AH G R AE F
REPHOTOGRAPHED	R IY F OW T AH G R AE F T
REPHOTOGRAPHING	R IY F OW T AH G R AE F IH NG
REPHOTOGRAPHS	R IY F OW T AH G R AE F S
REPHRASE	R IY F R EY Z
REPHRASED	R IY F R EY Z D
REPHRASES	R IY F R EY Z IH Z
REPHRASING	R IY F R EY Z IH NG
REPROGRAPHER	R IY P R OW G R AE F ER
REPROGRAPHERS	R IY P R OW G R AE F ER Z
REPROGRAPHIC	R EH P R OW G R AE F IH K
REPROGRAPHICS	R EH P R OW G R AE F IH K S
REPROGRAPHIES	R IY P R OW G R AE F IY Z
REPROGRAPHY	R IY P R OW G R AE F IY
REUPHOLSTER	R IY AH P HH OW L S T ER
REUPHOLSTERED	R IY AH P HH OW L S T ER D
REUPHOLSTERING	R IY AH P HH OW L S T ER IH NG
REUPHOLSTERS	R IY AH P HH OW L S T ER Z
RHAPHAE	R AE F IY
RHAPHE	R AE F
RHAPHES	R AE F S
RHEOPHIL	R IY AH F AH L
RHINENCEPHALA	R IH N AH N S EH F AH L AH
RHINENCEPHALIC	R AH N EH N S AH F AH L AH K
RHINENCEPHALON	R IH N AH N S EH F AH L AH N
RHINENCEPHALONS	R IH N AH N S EH F AH L AH N Z
RHIZOSPHERE	R AH Z AA S AH R
RHIZOSPHERES	R IH Z AH S IY R Z
RHOMBENCEPHALA	R AA M B AH N S EH F AH L AH
RHOMBENCEPHALON	R AA M B AH N S EH F AH L AH N
RHYNCHOCEPHALIAN	R IH NG K AA S AH F EY L IY AH N
RHYNCHOCEPHALIANS	R IH NG K AH S AH F EY L IY AH N Z
ROENTGENOGRAPHIC	R OW EH N T JH AH N AA G R AH F AH K
ROENTGENOGRAPHICALLY	R OW EH N T JH AH N AA G R AE F AH K AE L IY
ROENTGENOGRAPHIES	R OW EH N T JH AH N AA G R AH F AY Z
ROENTGENOGRAPHY	R OW EH N T JH AH N AA G R AH F IY
SAMPHIRE	S AE M F AY R
SAMPHIRES	S AE M F AY R Z
SAPHEAD	S AE P HH EH D
SAPHEADED	S AE P HH EH D IH D
SAPHEADS	S AE P HH EH D Z
SAPHENA	S AE F AH N AH
SAPHENAE	S AE F AH N IY
SAPHENOUS	S AE P HH EH N AH S
SAPPHIC	S AE P AH K
SAPPHICS	S AE P AH S Z
SAPPHIRE	S AE F AY ER
SAPPHIRES	S AE F AY ER Z
SAPPHIRINE	S AE P AH R AY N
SAPPHISM	S AE P AH Z AH M
SAPPHISMS	S AE P AH Z AH M Z
SAPPHIST	S AE P AH S T
SAPPHISTS	S AE P AH S T S
SAPROPHAGOUS	S AE P R AH F EY JH AH S
SAPROPHYTE	S AE P R AH F AY T
SAPROPHYTES	S AE P R AH F AY T S
SAPROPHYTIC	S AE P R AH F AH T AH K
SAPROPHYTICALLY	S AE P R AH F IH T AH K AE L IY
SARCOPHAGI	S AA R K AA F AH JH IY
SARCOPHAGUS	S AA R K AA F AH G AH S
SARCOPHAGUSES	S AA R K AA F AH G Y UW Z AH Z
SAXOPHONE	S AE K S AH F OW N
SAXOPHONES	S AE K S AH F OW N Z
SAXOPHONIC	S AE K S AH F OW N IH K
SAXOPHONIST	S AE K S AH F OW N IH S T
SAXOPHONISTS	S AE K S AH F OW N IH S T S
SCAPHOID	S K AH F OY D
SCAPHOIDS	S K AH F OY D Z
SCARPH	S K AA R F
SCARPHED	S K AA R F T
MAIZE	M EY Z
LIEU	L UW
LIEU(2)	L Y UW
WHA	W AA
DUAL	D UW AH L
DUAL(2)	D UW L
OGHAM	AA AH M
HE	HH IY
EERIE	IH R IY
